Trial Number,Frame,Machine ID,Reward,Prediction
1,1200,2,True,
2,3600,4,True,
3,5920,1,True,
1,1980,2,False,
1,1100,2,False,
2,8720,1,True,
3,11480,2,False,
4,14720,3,False,
1,1740,2,True,
2,4320,4,False,
1,1380,2,False,
2,3520,3,False,
3,5820,1,True,
4,8040,2,False,
5,10340,4,True,
6,12760,3,False,
7,15220,2,True,
8,16920,2,False,
9,21600,2,False,
10,23760,2,True,
11,25940,2,True,
12,28160,3,False,
13,32500,2,True,
14,34620,2,False,
15,36960,2,True,
16,39320,2,True,
17,41680,2,True,
18,44360,2,True,
19,46780,2,False,
20,49020,2,False,
21,56480,2,False,
22,58620,2,False,
23,62600,2,False,
1,1120,2,False,
2,3420,3,False,
3,5760,3,False,
4,8100,1,True,
5,10780,1,False,
6,13100,1,False,
7,15620,3,False,
