Trial Number,Frame,Machine ID,Reward,Prediction
1,3184,1,False,
54,13485,4,False,
54,17244,4,False,
179,22125,1,True,
179,24224,1,True,
314,29077,2,False,
448,35621,1,False,
552,41879,3,False,
649,46107,4,False,
756,51507,2,False,
871,58527,3,True,
968,63829,2,False,
1071,69337,1,True,
1194,74357,3,False,
1330,79839,4,True,
1457,84477,4,False,
1575,89831,1,True,
1670,95207,1,True,
1766,100661,3,False,
1886,106907,2,False,
2421,111559,4,False,
2462,114825,2,False,
2575,119727,4,False,
2692,125007,1,False,
2777,130081,3,False,
2889,135369,2,False,
2968,140535,4,False,
2968,142562,4,True,
3085,147141,2,False,
3460,152681,3,False,
3559,157649,3,False,
3652,163219,4,False,
3652,165831,4,False,
3652,167691,4,False,
