Trial Number,Frame,Machine ID,Reward,Prediction
1,1900,2,True,
2,4700,4,True,
3,7420,1,False,
4,9880,2,True,
5,12520,3,True,
6,15240,4,False,
7,17980,3,False,
8,20420,1,True,
9,22840,2,False,
10,25440,3,False,
11,28260,4,False,
12,30940,1,False,
13,33660,2,False,
14,36220,4,False,
15,38760,1,False,
16,41340,2,False,
17,43720,4,True,
18,46140,3,False,
19,48480,1,True,
20,51880,3,False,
21,54800,4,False,
22,57900,1,False,
23,60920,3,True,
24,63700,4,False,
25,66780,1,False,
26,69420,3,True,
27,71460,3,False,
28,73780,4,False,
29,76240,3,False,
30,81420,3,False,
