Trial Number,Frame,Machine ID,Reward,Prediction
1,2975,3,False,
2,7164,2,False,
3,9940,1,False,
4,12442,4,True,
5,15543,1,False,
6,18832,2,False,
7,21146,4,True,
8,23704,1,False,
9,25711,2,False,
10,28031,4,False,
11,30036,2,False,
12,32480,1,False,
13,35065,2,False,
14,37288,4,True,
15,39221,3,False,
16,41278,2,False,
17,43557,1,False,
18,45714,2,False,
20,48296,4,False,
21,50457,3,False,
22,52487,2,True,
23,54818,1,False,
24,57103,4,True,
25,59469,3,False,
26,61805,2,True,
27,64081,1,False,
28,66242,4,False,
29,68372,3,False,
30,70791,1,True,
31,73671,4,False,
33,76167,1,False,
34,78541,2,False,
35,80772,4,False,
36,82992,3,False,
37,85412,1,True,
38,87570,2,False,
39,90157,3,True,
41,92843,4,False,
43,95287,3,False,
44,99208,1,False,
45,102091,2,True,
46,106355,1,False,
47,109328,1,False,
48,112421,1,False,
49,115602,4,False,
50,118162,2,False,
51,120927,1,False,
52,123355,4,True,
53,126069,2,False,
54,128907,3,False,
55,131308,1,False,
57,135379,1,False,
58,137898,3,False,
59,140127,4,True,
60,142496,2,False,
61,144967,1,False,
62,147490,3,True,
63,150127,4,False,
64,153164,4,False,
65,155953,2,False,
66,158519,3,False,
67,161095,4,False,
68,163707,1,False,
69,166320,2,False,
70,169409,3,True,
71,172418,4,True,
72,176525,1,False,
73,178721,3,False,
74,181055,2,False,
75,183718,4,False,
